name,microseconds
2_8,162.571000
8_14,148.186000
8_14_null_2,145.466000
8_14_null_10,158.430000
8_14_null_100,154.936000
2_8,152.072000
8_14,152.720000
8_14_null_2,145.710000
8_14_null_10,161.799000
8_14_null_100,157.541000
2_8,154.268000
8_14,155.180000
8_14_null_2,145.480000
8_14_null_10,164.597000
8_14_null_100,160.341000
2_8,153.375000
8_14,155.131000
8_14_null_2,145.478000
8_14_null_10,164.493000
8_14_null_100,158.840000
2_8,154.866000
8_14,155.862000
8_14_null_2,145.565000
8_14_null_10,164.353000
8_14_null_100,160.358000
2_8,155.311000
8_14,156.073000
8_14_null_2,146.451000
8_14_null_10,167.731000
8_14_null_100,160.409000
2_8,156.150000
8_14,156.102000
8_14_null_2,147.362000
8_14_null_10,167.973000
8_14_null_100,160.193000
2_8,156.119000
8_14,156.001000
8_14_null_2,148.117000
8_14_null_10,168.919000
8_14_null_100,160.243000
2_8,156.005000
8_14,156.083000
8_14_null_2,148.579000
8_14_null_10,169.214000
8_14_null_100,160.376000
2_8,156.109000
8_14,156.138000
8_14_null_2,148.925000
8_14_null_10,169.349000
8_14_null_100,160.302000
2_8,156.101000
8_14,156.099000
8_14_null_2,149.553000
8_14_null_10,169.426000
8_14_null_100,160.723000
2_8,155.807000
8_14,156.056000
8_14_null_2,147.816000
8_14_null_10,171.893000
8_14_null_100,160.321000
2_8,155.197000
8_14,156.059000
8_14_null_2,149.095000
8_14_null_10,169.493000
8_14_null_100,160.238000
2_8,155.246000
8_14,156.141000
8_14_null_2,150.120000
8_14_null_10,169.730000
8_14_null_100,160.301000
2_8,155.744000
8_14,156.059000
8_14_null_2,149.375000
8_14_null_10,169.788000
8_14_null_100,160.229000
2_8,155.760000
8_14,156.100000
8_14_null_2,150.851000
8_14_null_10,169.473000
8_14_null_100,160.342000
2_8,155.809000
8_14,156.116000
8_14_null_2,150.091000
8_14_null_10,169.578000
8_14_null_100,160.205000
2_8,155.924000
8_14,156.095000
8_14_null_2,151.853000
8_14_null_10,169.598000
8_14_null_100,160.296000
2_8,155.843000
8_14,155.989000
8_14_null_2,150.736000
8_14_null_10,169.597000
8_14_null_100,160.220000
2_8,156.081000
8_14,156.045000
8_14_null_2,151.192000
8_14_null_10,169.735000
8_14_null_100,160.223000
2_8,156.150000
8_14,156.101000
8_14_null_2,151.253000
8_14_null_10,169.361000
8_14_null_100,160.373000
2_8,156.253000
8_14,156.174000
8_14_null_2,151.200000
8_14_null_10,169.502000
8_14_null_100,160.258000
2_8,156.108000
8_14,156.041000
8_14_null_2,152.202000
8_14_null_10,169.463000
8_14_null_100,160.347000
2_8,156.319000
8_14,155.981000
8_14_null_2,151.896000
8_14_null_10,169.604000
8_14_null_100,160.176000
2_8,156.031000
8_14,156.014000
8_14_null_2,151.750000
8_14_null_10,169.596000
8_14_null_100,160.251000
2_8,156.143000
8_14,155.996000
8_14_null_2,152.278000
8_14_null_10,169.476000
8_14_null_100,160.339000
2_8,155.956000
8_14,156.102000
8_14_null_2,153.130000
8_14_null_10,169.467000
8_14_null_100,160.182000
2_8,156.165000
8_14,156.155000
8_14_null_2,153.513000
8_14_null_10,169.534000
8_14_null_100,159.723000
2_8,155.913000
8_14,156.099000
8_14_null_2,153.964000
8_14_null_10,169.645000
8_14_null_100,160.298000
2_8,155.985000
8_14,156.393000
8_14_null_2,153.416000
8_14_null_10,169.648000
8_14_null_100,160.276000
2_8,155.902000
8_14,156.014000
8_14_null_2,153.985000
8_14_null_10,170.269000
8_14_null_100,160.323000
2_8,156.182000
8_14,156.262000
8_14_null_2,154.161000
8_14_null_10,169.008000
8_14_null_100,160.205000
2_8,156.025000
8_14,156.162000
8_14_null_2,153.310000
8_14_null_10,169.551000
8_14_null_100,160.395000
2_8,155.832000
8_14,156.138000
8_14_null_2,154.078000
8_14_null_10,169.596000
8_14_null_100,160.251000
2_8,155.841000
8_14,156.062000
8_14_null_2,153.079000
8_14_null_10,169.651000
8_14_null_100,160.347000
2_8,155.884000
8_14,156.055000
8_14_null_2,154.735000
8_14_null_10,169.452000
8_14_null_100,160.422000
2_8,155.963000
8_14,156.107000
8_14_null_2,153.645000
8_14_null_10,169.454000
8_14_null_100,160.226000
2_8,155.911000
8_14,156.139000
8_14_null_2,154.550000
8_14_null_10,169.470000
8_14_null_100,160.377000
2_8,155.866000
8_14,156.029000
8_14_null_2,153.760000
8_14_null_10,169.689000
8_14_null_100,160.305000
2_8,156.185000
8_14,156.057000
8_14_null_2,153.398000
8_14_null_10,169.744000
8_14_null_100,160.289000
2_8,156.156000
8_14,156.040000
8_14_null_2,153.439000
8_14_null_10,169.466000
8_14_null_100,160.373000
2_8,155.992000
8_14,156.131000
8_14_null_2,154.668000
8_14_null_10,169.616000
8_14_null_100,160.264000
2_8,155.931000
8_14,156.164000
8_14_null_2,154.501000
8_14_null_10,168.360000
8_14_null_100,160.413000
2_8,155.622000
8_14,156.079000
8_14_null_2,155.068000
8_14_null_10,169.552000
8_14_null_100,160.306000
2_8,155.889000
8_14,156.210000
8_14_null_2,154.518000
8_14_null_10,169.621000
8_14_null_100,160.259000
2_8,155.927000
8_14,155.972000
8_14_null_2,155.453000
8_14_null_10,169.401000
8_14_null_100,160.342000
2_8,156.027000
8_14,156.105000
8_14_null_2,154.202000
8_14_null_10,169.617000
8_14_null_100,160.222000
2_8,155.950000
8_14,156.115000
8_14_null_2,155.007000
8_14_null_10,169.573000
8_14_null_100,160.519000
2_8,156.249000
8_14,156.058000
8_14_null_2,154.730000
8_14_null_10,169.686000
8_14_null_100,160.220000
2_8,155.869000
8_14,156.056000
8_14_null_2,154.946000
8_14_null_10,169.679000
8_14_null_100,160.294000
2_8,155.913000
8_14,156.017000
8_14_null_2,155.392000
8_14_null_10,169.515000
8_14_null_100,160.453000
2_8,155.915000
8_14,156.096000
8_14_null_2,154.542000
8_14_null_10,169.510000
8_14_null_100,160.201000
2_8,155.904000
8_14,156.083000
8_14_null_2,155.200000
8_14_null_10,169.484000
8_14_null_100,160.403000
2_8,156.150000
8_14,156.039000
8_14_null_2,155.339000
8_14_null_10,169.694000
8_14_null_100,160.262000
2_8,155.905000
8_14,156.069000
8_14_null_2,154.917000
8_14_null_10,169.681000
8_14_null_100,160.305000
2_8,155.936000
8_14,156.046000
8_14_null_2,156.117000
8_14_null_10,169.437000
8_14_null_100,160.427000
2_8,156.200000
8_14,156.160000
8_14_null_2,155.503000
8_14_null_10,169.590000
8_14_null_100,160.274000
2_8,155.980000
8_14,156.055000
8_14_null_2,155.627000
8_14_null_10,169.568000
8_14_null_100,160.481000
2_8,155.655000
8_14,156.128000
8_14_null_2,154.881000
8_14_null_10,169.675000
8_14_null_100,160.274000
2_8,155.575000
8_14,156.058000
8_14_null_2,155.022000
8_14_null_10,169.667000
8_14_null_100,160.287000
2_8,156.195000
8_14,156.075000
8_14_null_2,155.520000
8_14_null_10,168.530000
8_14_null_100,160.367000
2_8,155.748000
8_14,156.154000
8_14_null_2,155.696000
8_14_null_10,173.556000
8_14_null_100,167.666000
2_8,160.221000
8_14,156.164000
8_14_null_2,156.055000
8_14_null_10,169.657000
8_14_null_100,160.269000
2_8,155.832000
8_14,156.043000
8_14_null_2,156.000000
8_14_null_10,169.673000
8_14_null_100,160.208000
2_8,155.607000
8_14,156.265000
8_14_null_2,152.493000
8_14_null_10,169.825000
8_14_null_100,160.314000
2_8,155.919000
8_14,155.991000
8_14_null_2,155.967000
8_14_null_10,169.489000
8_14_null_100,160.377000
2_8,155.631000
8_14,156.031000
8_14_null_2,155.963000
8_14_null_10,169.466000
8_14_null_100,160.446000
2_8,155.726000
8_14,156.050000
8_14_null_2,155.556000
8_14_null_10,169.611000
8_14_null_100,160.290000
2_8,156.267000
8_14,156.033000
8_14_null_2,156.000000
8_14_null_10,169.680000
8_14_null_100,160.287000
2_8,156.227000
8_14,156.210000
8_14_null_2,156.027000
8_14_null_10,169.707000
8_14_null_100,160.322000
2_8,155.975000
8_14,155.983000
8_14_null_2,156.004000
8_14_null_10,169.498000
8_14_null_100,160.373000
2_8,155.601000
8_14,156.166000
8_14_null_2,155.917000
8_14_null_10,169.505000
8_14_null_100,160.251000
2_8,155.834000
8_14,157.104000
8_14_null_2,156.363000
8_14_null_10,169.739000
8_14_null_100,161.220000
2_8,156.270000
8_14,156.035000
8_14_null_2,156.241000
8_14_null_10,182.188000
8_14_null_100,174.621000
2_8,176.750000
8_14,161.067000
8_14_null_2,155.555000
8_14_null_10,175.915000
8_14_null_100,163.106000
2_8,155.987000
8_14,156.561000
8_14_null_2,155.899000
8_14_null_10,171.771000
8_14_null_100,163.069000
2_8,169.946000
8_14,156.077000
8_14_null_2,156.025000
8_14_null_10,169.600000
8_14_null_100,160.175000
2_8,156.003000
8_14,156.181000
8_14_null_2,155.940000
8_14_null_10,169.620000
8_14_null_100,160.270000
2_8,156.217000
8_14,156.102000
8_14_null_2,156.094000
8_14_null_10,169.549000
8_14_null_100,160.101000
2_8,155.978000
8_14,156.045000
8_14_null_2,156.026000
8_14_null_10,170.039000
8_14_null_100,160.957000
2_8,155.928000
8_14,156.098000
8_14_null_2,155.947000
8_14_null_10,169.784000
8_14_null_100,160.234000
2_8,156.137000
8_14,155.960000
8_14_null_2,156.099000
8_14_null_10,169.688000
8_14_null_100,160.168000
2_8,155.929000
8_14,156.191000
8_14_null_2,155.987000
8_14_null_10,169.554000
8_14_null_100,160.312000
2_8,156.011000
8_14,156.074000
8_14_null_2,156.138000
8_14_null_10,169.589000
8_14_null_100,160.324000
2_8,156.234000
8_14,155.997000
8_14_null_2,156.066000
8_14_null_10,169.651000
8_14_null_100,160.294000
2_8,155.883000
8_14,156.130000
8_14_null_2,155.971000
8_14_null_10,168.933000
8_14_null_100,160.269000
2_8,155.727000
8_14,155.975000
8_14_null_2,155.926000
8_14_null_10,169.520000
8_14_null_100,160.241000
2_8,156.039000
8_14,155.735000
8_14_null_2,155.927000
8_14_null_10,169.542000
8_14_null_100,160.304000
2_8,155.768000
8_14,156.057000
8_14_null_2,156.076000
8_14_null_10,169.620000
8_14_null_100,160.365000
2_8,156.128000
8_14,156.041000
8_14_null_2,155.957000
8_14_null_10,169.616000
8_14_null_100,160.268000
2_8,156.046000
8_14,156.084000
8_14_null_2,155.959000
8_14_null_10,169.035000
8_14_null_100,160.361000
2_8,155.755000
8_14,156.035000
8_14_null_2,156.005000
8_14_null_10,169.707000
8_14_null_100,160.388000
2_8,156.026000
8_14,156.143000
8_14_null_2,155.961000
8_14_null_10,169.588000
8_14_null_100,160.309000
2_8,156.249000
8_14,156.037000
8_14_null_2,156.094000
8_14_null_10,168.791000
8_14_null_100,160.385000
2_8,155.638000
8_14,156.125000
8_14_null_2,155.987000
8_14_null_10,169.637000
8_14_null_100,160.350000
2_8,156.153000
8_14,156.076000
8_14_null_2,155.931000
8_14_null_10,169.681000
8_14_null_100,160.312000
2_8,156.027000
8_14,156.029000
8_14_null_2,155.998000
8_14_null_10,169.577000
8_14_null_100,160.260000
2_8,156.303000
8_14,156.185000
8_14_null_2,155.942000
8_14_null_10,169.482000
8_14_null_100,160.272000
2_8,156.118000
8_14,156.064000
8_14_null_2,156.099000
8_14_null_10,169.584000
8_14_null_100,160.336000
2_8,156.025000
8_14,156.065000
8_14_null_2,156.014000
8_14_null_10,169.667000
8_14_null_100,160.244000
2_8,156.369000
8_14,156.031000
8_14_null_2,156.089000
8_14_null_10,169.804000
8_14_null_100,160.254000
2_8,156.287000
8_14,156.041000
8_14_null_2,155.913000
8_14_null_10,169.597000
8_14_null_100,160.413000
2_8,156.238000
8_14,156.132000
8_14_null_2,155.910000
8_14_null_10,169.490000
8_14_null_100,160.533000
2_8,156.033000
8_14,156.097000
8_14_null_2,156.212000
8_14_null_10,169.828000
8_14_null_100,160.380000
2_8,156.248000
8_14,156.038000
8_14_null_2,156.008000
8_14_null_10,170.017000
8_14_null_100,160.218000
2_8,155.993000
8_14,156.157000
8_14_null_2,156.214000
8_14_null_10,169.723000
8_14_null_100,160.313000
2_8,156.080000
8_14,156.088000
8_14_null_2,156.072000
8_14_null_10,169.851000
8_14_null_100,160.444000
2_8,156.255000
8_14,156.207000
8_14_null_2,155.981000
8_14_null_10,169.670000
8_14_null_100,160.336000
2_8,156.234000
8_14,155.985000
8_14_null_2,156.122000
8_14_null_10,169.482000
8_14_null_100,160.353000
2_8,156.149000
8_14,156.034000
8_14_null_2,156.045000
8_14_null_10,169.683000
8_14_null_100,160.234000
2_8,156.115000
8_14,156.072000
8_14_null_2,156.015000
8_14_null_10,169.656000
8_14_null_100,160.307000
2_8,155.396000
8_14,156.005000
8_14_null_2,156.041000
8_14_null_10,169.563000
8_14_null_100,160.316000
2_8,156.426000
8_14,156.211000
8_14_null_2,155.950000
8_14_null_10,169.615000
8_14_null_100,160.709000
2_8,156.101000
8_14,156.127000
8_14_null_2,156.200000
8_14_null_10,169.540000
8_14_null_100,160.454000
2_8,156.239000
8_14,156.064000
8_14_null_2,155.968000
8_14_null_10,169.705000
8_14_null_100,160.335000
2_8,155.945000
8_14,156.104000
8_14_null_2,155.963000
8_14_null_10,170.096000
8_14_null_100,160.470000
2_8,155.595000
8_14,156.098000
8_14_null_2,155.941000
8_14_null_10,169.506000
8_14_null_100,160.345000
2_8,156.036000
8_14,156.121000
8_14_null_2,155.935000
8_14_null_10,169.519000
8_14_null_100,160.257000
2_8,155.980000
8_14,156.041000
8_14_null_2,155.568000
8_14_null_10,169.545000
8_14_null_100,160.319000
2_8,156.011000
8_14,156.086000
8_14_null_2,155.971000
8_14_null_10,169.688000
8_14_null_100,160.239000
2_8,155.942000
8_14,156.112000
8_14_null_2,155.967000
8_14_null_10,168.921000
8_14_null_100,160.346000
2_8,155.714000
8_14,156.111000
8_14_null_2,156.009000
8_14_null_10,169.707000
8_14_null_100,160.135000
2_8,156.011000
8_14,156.067000
8_14_null_2,156.009000
8_14_null_10,169.514000
8_14_null_100,160.278000
2_8,156.294000
8_14,156.041000
8_14_null_2,156.054000
8_14_null_10,169.638000
8_14_null_100,160.219000
2_8,156.136000
8_14,156.108000
8_14_null_2,155.993000
8_14_null_10,169.690000
8_14_null_100,160.304000
2_8,155.995000
8_14,156.137000
8_14_null_2,155.976000
8_14_null_10,168.878000
8_14_null_100,160.410000
2_8,155.746000
8_14,156.021000
8_14_null_2,156.072000
8_14_null_10,169.533000
8_14_null_100,160.374000
2_8,156.036000
8_14,156.170000
8_14_null_2,155.970000
8_14_null_10,169.551000
8_14_null_100,160.263000
2_8,156.252000
8_14,156.086000
8_14_null_2,156.139000
8_14_null_10,169.006000
8_14_null_100,160.226000
2_8,155.876000
8_14,156.033000
8_14_null_2,155.977000
8_14_null_10,169.651000
8_14_null_100,160.300000
2_8,155.758000
8_14,155.725000
8_14_null_2,155.934000
8_14_null_10,169.634000
8_14_null_100,160.339000
2_8,156.001000
8_14,156.042000
8_14_null_2,155.970000
8_14_null_10,169.967000
8_14_null_100,159.928000
2_8,155.835000
8_14,156.100000
8_14_null_2,155.971000
8_14_null_10,169.555000
8_14_null_100,160.216000
2_8,156.138000
8_14,156.036000
8_14_null_2,156.113000
8_14_null_10,169.699000
8_14_null_100,160.316000
2_8,156.026000
8_14,156.059000
8_14_null_2,156.003000
8_14_null_10,169.666000
8_14_null_100,160.309000
2_8,156.057000
8_14,156.065000
8_14_null_2,156.003000
8_14_null_10,169.671000
8_14_null_100,160.418000
2_8,156.202000
8_14,156.027000
8_14_null_2,156.053000
8_14_null_10,169.588000
8_14_null_100,160.382000
2_8,156.078000
8_14,156.074000
8_14_null_2,155.965000
8_14_null_10,169.531000
8_14_null_100,160.256000
2_8,156.167000
8_14,156.169000
8_14_null_2,156.018000
8_14_null_10,169.640000
8_14_null_100,160.135000
2_8,156.191000
8_14,156.081000
8_14_null_2,155.935000
8_14_null_10,169.614000
8_14_null_100,160.350000
2_8,156.276000
8_14,156.114000
8_14_null_2,155.995000
8_14_null_10,169.608000
8_14_null_100,160.450000
2_8,156.305000
8_14,156.060000
8_14_null_2,156.068000
8_14_null_10,169.542000
8_14_null_100,160.384000
2_8,156.083000
8_14,156.103000
8_14_null_2,155.906000
8_14_null_10,170.315000
8_14_null_100,160.229000
2_8,156.058000
8_14,156.062000
8_14_null_2,156.099000
8_14_null_10,169.709000
8_14_null_100,160.182000
2_8,156.447000
8_14,156.107000
8_14_null_2,156.055000
8_14_null_10,169.671000
8_14_null_100,160.329000
2_8,156.266000
8_14,156.313000
8_14_null_2,155.984000
8_14_null_10,169.587000
8_14_null_100,160.359000
2_8,155.983000
8_14,156.040000
8_14_null_2,156.176000
8_14_null_10,169.407000
8_14_null_100,160.407000
2_8,156.051000
8_14,156.067000
8_14_null_2,157.045000
8_14_null_10,169.500000
8_14_null_100,160.353000
2_8,156.183000
8_14,156.109000
8_14_null_2,156.074000
8_14_null_10,169.718000
8_14_null_100,160.085000
2_8,156.029000
8_14,156.093000
8_14_null_2,156.136000
8_14_null_10,169.622000
8_14_null_100,160.286000
2_8,156.037000
8_14,156.113000
8_14_null_2,155.986000
8_14_null_10,169.580000
8_14_null_100,160.492000
2_8,156.328000
8_14,155.992000
8_14_null_2,156.070000
8_14_null_10,169.575000
8_14_null_100,160.399000
2_8,156.592000
8_14,156.058000
8_14_null_2,155.909000
8_14_null_10,169.441000
8_14_null_100,160.220000
2_8,156.066000
8_14,156.039000
8_14_null_2,156.009000
8_14_null_10,169.698000
8_14_null_100,160.210000
2_8,155.976000
8_14,156.065000
8_14_null_2,156.046000
8_14_null_10,169.724000
8_14_null_100,160.336000
2_8,156.127000
8_14,156.067000
8_14_null_2,155.977000
8_14_null_10,169.524000
8_14_null_100,160.318000
2_8,156.127000
8_14,156.028000
8_14_null_2,156.000000
8_14_null_10,169.551000
8_14_null_100,160.433000
2_8,156.204000
8_14,156.014000
8_14_null_2,155.939000
8_14_null_10,169.422000
8_14_null_100,160.266000
2_8,155.673000
8_14,156.047000
8_14_null_2,156.078000
8_14_null_10,169.709000
8_14_null_100,160.169000
2_8,155.806000
8_14,156.072000
8_14_null_2,156.074000
8_14_null_10,169.547000
8_14_null_100,160.319000
2_8,156.156000
8_14,156.146000
8_14_null_2,156.022000
8_14_null_10,169.560000
8_14_null_100,160.327000
2_8,156.067000
8_14,156.043000
8_14_null_2,155.970000
8_14_null_10,168.656000
8_14_null_100,160.318000
2_8,156.082000
8_14,156.028000
8_14_null_2,155.963000
8_14_null_10,169.544000
8_14_null_100,160.445000
2_8,156.213000
8_14,156.093000
8_14_null_2,156.100000
8_14_null_10,169.666000
8_14_null_100,160.187000
2_8,155.989000
8_14,156.057000
8_14_null_2,156.055000
8_14_null_10,169.629000
8_14_null_100,160.338000
2_8,155.999000
8_14,156.057000
8_14_null_2,156.064000
8_14_null_10,169.554000
8_14_null_100,160.225000
2_8,156.015000
8_14,156.051000
8_14_null_2,156.036000
